ID	Elements	Generation	Position	Inertia	Velocity	Activity
1	['Pt', 'Pd', 'Au']	0	[0.5 0.5 0. ]	[-0.017 -0.017  0.033]	[-0.017 -0.017  0.033]	-0.9287691796874953
2	['Pt', 'Pd', 'Au']	0	[0.5 0.  0.5]	[-0.017  0.033 -0.017]	[-0.017  0.033 -0.017]	-0.9024045410156265
3	['Pt', 'Pd', 'Au']	0	[0.  0.5 0.5]	[ 0.033 -0.017 -0.017]	[ 0.033 -0.017 -0.017]	-0.28392964843750007
4	['Pt', 'Pd', 'Au']	0	[0.189 0.062 0.749]	[ 0.014  0.027 -0.042]	[ 0.014  0.027 -0.042]	-0.7775617968750013
5	['Pt', 'Pd', 'Au']	0	[0.421 0.35  0.229]	[-0.009 -0.002  0.01 ]	[-0.009 -0.002  0.01 ]	-0.9977320703124979
6	['Pt', 'Pd', 'Au']	0	[0.076 0.643 0.281]	[ 0.026 -0.031  0.005]	[ 0.026 -0.031  0.005]	-0.4618133203124987
1	['Pt', 'Pd', 'Au']	1	[0.483 0.483 0.033]	[-0.017 -0.017  0.033]	[-0.024 -0.096  0.12 ]	-0.9292134667968703
2	['Pt', 'Pd', 'Au']	1	[0.483 0.033 0.483]	[-0.017  0.033 -0.017]	[-0.012  0.217 -0.205]	-0.9039497851562515
3	['Pt', 'Pd', 'Au']	1	[0.033 0.483 0.483]	[ 0.033 -0.017 -0.017]	[ 0.28  -0.079 -0.201]	-0.3017919335937496
4	['Pt', 'Pd', 'Au']	1	[0.203 0.089 0.707]	[ 0.014  0.027 -0.042]	[ 0.223  0.224 -0.447]	-0.7835272167968766
5	['Pt', 'Pd', 'Au']	1	[0.412 0.348 0.239]	[-0.009 -0.002  0.01 ]	[ 0.018  0.003 -0.021]	-1.010651904296873
6	['Pt', 'Pd', 'Au']	1	[0.102 0.612 0.286]	[ 0.026 -0.031  0.005]	[ 0.245 -0.223 -0.023]	-0.7670776757812469
1	['Pt', 'Pd', 'Au']	2	[0.459 0.387 0.153]	[-0.017 -0.017  0.033]	[-0.014  0.019 -0.005]	-0.9301755078124964
2	['Pt', 'Pd', 'Au']	2	[0.471 0.25  0.278]	[-0.017  0.033 -0.017]	[-0.032 -0.019  0.051]	-1.0181580859375
3	['Pt', 'Pd', 'Au']	2	[0.313 0.404 0.282]	[ 0.033 -0.017 -0.017]	[ 0.012 -0.02   0.008]	-0.981758437499998
4	['Pt', 'Pd', 'Au']	2	[0.426 0.313 0.26 ]	[ 0.014  0.027 -0.042]	[-0.099 -0.063  0.162]	-1.0302519531249976
5	['Pt', 'Pd', 'Au']	2	[0.43  0.351 0.218]	[-0.009 -0.002  0.01 ]	[-0.011 -0.     0.011]	-0.980468408203123
6	['Pt', 'Pd', 'Au']	2	[0.347 0.389 0.263]	[ 0.026 -0.031  0.005]	[-0.042  0.068 -0.026]	-1.0218936035156228
1	['Pt', 'Pd', 'Au']	3	[0.445 0.406 0.148]	[-0.017 -0.017  0.033]	[-0.016 -0.093  0.109]	-0.9306980175781213
2	['Pt', 'Pd', 'Au']	3	[0.439 0.231 0.329]	[-0.017  0.033 -0.017]	[-0.009  0.033 -0.023]	-0.9915925585937492
3	['Pt', 'Pd', 'Au']	3	[0.325 0.384 0.29 ]	[ 0.033 -0.017 -0.017]	[ 0.032 -0.062  0.03 ]	-0.9847032519531231
4	['Pt', 'Pd', 'Au']	3	[0.327 0.25  0.422]	[ 0.014  0.027 -0.042]	[ 0.099  0.043 -0.141]	-0.9632183984375006
5	['Pt', 'Pd', 'Au']	3	[0.419 0.351 0.229]	[-0.009 -0.002  0.01 ]	[-0.013 -0.051  0.064]	-0.9977320703124979
6	['Pt', 'Pd', 'Au']	3	[0.305 0.457 0.237]	[ 0.026 -0.031  0.005]	[ 0.085 -0.16   0.074]	-0.9588984765624983
1	['Pt', 'Pd', 'Au']	4	[0.429 0.313 0.257]	[-0.017 -0.017  0.033]	[ 0.014  0.048 -0.062]	-1.0307200878906224
2	['Pt', 'Pd', 'Au']	4	[0.43  0.264 0.306]	[-0.017  0.033 -0.017]	[ 0.025  0.003 -0.028]	-1.01684201171875
3	['Pt', 'Pd', 'Au']	4	[0.357 0.322 0.32 ]	[ 0.033 -0.017 -0.017]	[ 0.014  0.029 -0.043]	-1.031124619140623
4	['Pt', 'Pd', 'Au']	4	[0.426 0.293 0.281]	[ 0.014  0.027 -0.042]	[-0.019 -0.004  0.023]	-1.027981474609373
5	['Pt', 'Pd', 'Au']	4	[0.406 0.3   0.293]	[-0.009 -0.002  0.01 ]	[ 0.025  0.029 -0.054]	-1.0297370117187479
6	['Pt', 'Pd', 'Au']	4	[0.39  0.297 0.311]	[ 0.026 -0.031  0.005]	[-0.015  0.078 -0.064]	-1.0306996191406232
1	['Pt', 'Pd', 'Au']	5	[0.443 0.361 0.195]	[-0.017 -0.017  0.033]	[-0.067 -0.026  0.093]	-0.9516307519531219
2	['Pt', 'Pd', 'Au']	5	[0.455 0.267 0.278]	[-0.017  0.033 -0.017]	[-0.07   0.022  0.048]	-1.01421857421875
3	['Pt', 'Pd', 'Au']	5	[0.371 0.351 0.277]	[ 0.033 -0.017 -0.017]	[-0.048 -0.014  0.063]	-1.0222609960937474
4	['Pt', 'Pd', 'Au']	5	[0.407 0.289 0.304]	[ 0.014  0.027 -0.042]	[-0.051  0.022  0.029]	-1.0302719726562484
5	['Pt', 'Pd', 'Au']	5	[0.431 0.329 0.239]	[-0.009 -0.002  0.01 ]	[-0.07  -0.005  0.075]	-1.0121496582031226
6	['Pt', 'Pd', 'Au']	5	[0.375 0.375 0.247]	[ 0.026 -0.031  0.005]	[-0.032 -0.044  0.076]	-1.0150373046874974
1	['Pt', 'Pd', 'Au']	6	[0.376 0.335 0.288]	[-0.017 -0.017  0.033]	[ 0.02  -0.008 -0.013]	-1.0215316308593727
2	['Pt', 'Pd', 'Au']	6	[0.385 0.289 0.326]	[-0.017  0.033 -0.017]	[ 0.025 -0.021 -0.005]	-1.0231740234374984
